MONTH,ERA5,M_CLM,E_HIRHAM,E_RACMO,H_RACMO,C_RCA,E_RCA,I_RCA,H_RCA,M_RCA,VAR,PERIOD
XII,NA,18.198,13.144,20.084,19.147,27.182,28.067,25.754,26.836,26.766,SW_net,2076_2100
I,37.568,38.491,37.312,30.927,29.683,41.423,42.062,40.019,41.718,40.665,LW_net,1981_2005
II,44.12,39.934,44.731,37.771,37.974,46.215,48.904,43.863,47.068,45.789,LW_net,1981_2005
III,50.532,46.074,54.09,54.425,49.067,50.213,54.76,51.397,51.27,50.167,LW_net,1981_2005
IV,60.022,51.531,62.956,60.099,57.553,52.724,54.585,50.822,53.262,51.737,LW_net,1981_2005
V,62.156,57.682,60.238,56.406,55.263,53.272,52.774,50.185,56.54,52.279,LW_net,1981_2005
VI,58.711,51.014,59.128,49.995,57.357,51.96,53.148,50.771,64.637,53.124,LW_net,1981_2005
VII,58.528,46.285,54.987,52.578,58.94,55.64,57.383,56.505,64.64,54.023,LW_net,1981_2005
VIII,59.433,45.835,53.716,56.262,55.148,55.519,60.635,55.932,65.897,52.596,LW_net,1981_2005
IX,52.79,47.612,49.577,49.775,51.513,50.172,53.732,48.42,56.749,49.888,LW_net,1981_2005
X,49.161,43.415,43.128,44.203,43.782,46.946,49.48,46.495,48.376,45.423,LW_net,1981_2005
XI,38.766,41.219,38.854,34.275,34.1,42.871,48.063,42.063,44.668,43.364,LW_net,1981_2005
XII,34.754,34.44,36.779,29.838,28.597,42.167,43.24,39.303,39.222,38.051,LW_net,1981_2005
I,NA,35.627,33.647,29.983,26.684,37.721,39.972,36.401,33.88,37.2,LW_net,2076_2100
II,NA,35.115,40.99,40.707,36.926,41.356,45.645,38.668,39.643,39.789,LW_net,2076_2100
III,NA,38.435,52.093,48.757,45.507,45.477,46.952,40.481,45.327,43.694,LW_net,2076_2100
IV,NA,42.404,60.179,55.17,55.817,46.955,49.044,44.286,47.171,45.297,LW_net,2076_2100
V,NA,46.08,55.141,45.735,50.916,45.73,48.568,44.047,51.988,47.557,LW_net,2076_2100
VI,NA,40.406,56.041,48.113,52.142,46.515,51.051,49.799,59.703,46.642,LW_net,2076_2100
VII,NA,42.709,53.918,52.232,54.886,49.107,60.637,54.824,64.569,51.477,LW_net,2076_2100
VIII,NA,45.704,51.527,53.44,54.142,47.145,65.08,52.958,61.778,53.071,LW_net,2076_2100
IX,NA,46.602,49.689,51.063,52.08,42.014,54.69,47.329,54.854,46.128,LW_net,2076_2100
X,NA,41.895,44.001,43.103,43.707,40.853,44.327,38.865,44.523,39.724,LW_net,2076_2100
XI,NA,34.851,35.685,34.342,34.819,36.575,39.169,35.858,38.53,37.257,LW_net,2076_2100
XII,NA,33.342,33.088,29.178,27.491,35.858,37.559,32.55,33.545,34.199,LW_net,2076_2100
I,57.462,72,77.326,67.481,57.634,63.484,69.133,78.744,57.455,68.84,P,1981_2005
II,51.047,65.402,58.461,54.201,64.093,58.369,51.337,64.892,64.102,57.779,P,1981_2005
III,63.407,71.243,56.746,38.3,56.935,69.082,58.86,71.629,64.136,69.311,P,1981_2005
IV,63.022,77.502,58.06,44.292,51.712,82.409,71.506,79.588,68.289,83.626,P,1981_2005
V,80.323,83.264,84.539,69.445,67.461,94.723,97.164,98.215,80.544,95.329,P,1981_2005
VI,91.552,92.612,78.746,92.819,66.308,120.77,98.55,97.561,69.174,95.063,P,1981_2005
VII,97.963,111.42,91.747,85.636,61.747,110.33,91.448,83.395,66.567,97.331,P,1981_2005
VIII,84.444,101.05,85.792,61.853,66.203,99.94,69.382,72.625,60.089,87.948,P,1981_2005
