MONTH,ERA5,CNRM,IPSL,MOHC,MPI,EARTH,VAR,PERIOD
X,69.725,73.144,67.36,71.847,65.091,NA,SW_net,1981_2005
XI,35.622,37.973,30.358,36.88,35.519,NA,SW_net,1981_2005
XII,22.07,21.863,17.16,21.859,21.94,NA,SW_net,1981_2005
I,NA,33.447,23.156,30.212,28.169,NA,SW_net,2076_2100
II,NA,61.914,43.997,61.223,47.816,NA,SW_net,2076_2100
III,NA,108.68,82.421,111.71,87.189,NA,SW_net,2076_2100
IV,NA,158.45,143.68,172.81,126.58,NA,SW_net,2076_2100
V,NA,198.61,199.19,226.97,164.23,NA,SW_net,2076_2100
VI,NA,222.08,250.07,263.85,177.15,NA,SW_net,2076_2100
VII,NA,225.21,251.27,260.69,182.19,NA,SW_net,2076_2100
VIII,NA,181.77,207.44,221.5,162.67,NA,SW_net,2076_2100
IX,NA,126.76,141.6,157.43,117.33,NA,SW_net,2076_2100
X,NA,77.537,73.682,87.432,67.229,NA,SW_net,2076_2100
XI,NA,40.088,31.361,41.591,33.29,NA,SW_net,2076_2100
XII,NA,25.144,16.997,24.661,21.829,NA,SW_net,2076_2100
I,37.568,43.123,34.843,31.467,28.705,NA,LW_net,1981_2005
II,44.12,47.766,36.763,39.315,30.546,NA,LW_net,1981_2005
III,50.532,58.981,52.837,51.001,39.858,NA,LW_net,1981_2005
IV,60.022,63.387,71.102,65.522,49.569,NA,LW_net,1981_2005
V,62.156,64.368,78.887,75.448,57.612,NA,LW_net,1981_2005
VI,58.711,69.401,83.988,80.002,54.942,NA,LW_net,1981_2005
VII,58.528,73.634,83.603,77.097,50.731,NA,LW_net,1981_2005
VIII,59.433,70.602,77.739,74.513,50.385,NA,LW_net,1981_2005
IX,52.79,63.117,67.301,64.148,52.819,NA,LW_net,1981_2005
X,49.161,56.293,56.663,44.912,46.269,NA,LW_net,1981_2005
XI,38.766,49.561,43.558,33.987,38.004,NA,LW_net,1981_2005
XII,34.754,44.365,36.501,30.584,28.884,NA,LW_net,1981_2005
I,NA,42.667,39.219,29.193,29.279,NA,LW_net,2076_2100
II,NA,47.668,43.989,40.191,29.71,NA,LW_net,2076_2100
III,NA,54.071,52.798,52.143,39.004,NA,LW_net,2076_2100
IV,NA,57.443,70.664,64.069,45.913,NA,LW_net,2076_2100
V,NA,59.015,79.508,73.324,51.817,NA,LW_net,2076_2100
VI,NA,62.868,85.591,85.369,51.538,NA,LW_net,2076_2100
VII,NA,70.926,83.871,94.877,54.285,NA,LW_net,2076_2100
VIII,NA,66.066,76.435,92.307,58.126,NA,LW_net,2076_2100
IX,NA,58.466,69.508,76.227,57.125,NA,LW_net,2076_2100
X,NA,51.394,56.539,54.211,48.193,NA,LW_net,2076_2100
XI,NA,44.226,44.03,35.724,36.97,NA,LW_net,2076_2100
XII,NA,40.658,36.794,27.156,30.402,NA,LW_net,2076_2100
I,57.462,53.94,75.977,59.44,71.333,66.637,P,1981_2005
II,51.047,43.229,63.845,69.757,66.14,55.759,P,1981_2005
III,63.407,43.326,60.82,68.584,66.748,53.054,P,1981_2005
IV,63.022,59.243,51.742,67.99,72.039,68.284,P,1981_2005
V,80.323,80.376,61.757,75.403,79.483,94.84,P,1981_2005
VI,91.552,77.609,76.26,71.38,81.05,103.81,P,1981_2005
VII,97.963,73.113,90.165,62.826,96.122,99.741,P,1981_2005
VIII,84.444,58.689,75.37,56.987,75.711,78.837,P,1981_2005
IX,71.716,53.956,62.063,55.369,59.94,68.283,P,1981_2005
X,56.987,55.386,56.901,64.053,64.754,60.784,P,1981_2005
XI,59.905,51.214,65.328,57.791,65.34,59.356,P,1981_2005
XII,65.809,57.347,75.216,63.822,76.575,57.199,P,1981_2005
I,NA,61.323,84.329,88.482,81.261,72.462,P,2076_2100
II,NA,57.903,70.77,80.017,76.076,58.365,P,2076_2100
III,NA,60.855,75.389,77.083,75.349,68.041,P,2076_2100
IV,NA,74.944,59.459,79.811,73.28,83.295,P,2076_2100
V,NA,92.39,53.913,79.575,89.366,119.19,P,2076_2100
VI,NA,93.698,49.532,59.062,75.222,107.77,P,2076_2100
VII,NA,75.291,61.737,31.693,61.362,92.995,P,2076_2100
VIII,NA,79.769,64.421,24.192,52.55,79.782,P,2076_2100
IX,NA,70.663,48.073,35.671,52.059,59.45,P,2076_2100
X,NA,65.04,67.81,57.209,64.647,65.509,P,2076_2100
XI,NA,65.513,85.032,67.86,69.632,70.333,P,2076_2100
XII,NA,66.217,97.698,87.626,83.689,72.249,P,2076_2100
I,-1.38,-2.009,0.44791,-3.1846,-0.11144,0.11408,Ta,1981_2005
II,-0.64,-1.3394,-0.1361,-0.79531,0.53663,-0.21229,Ta,1981_2005
III,3.2,1.95,2.6093,3.0878,4.1561,1.9867,Ta,1981_2005
IV,7.62,5.8408,6.8832,8.5185,8.7697,6.725,Ta,1981_2005
V,12.99,10.944,11.485,14.753,12.944,11.809,Ta,1981_2005
VI,15.72,17.365,16.787,19.211,15.601,14.479,Ta,1981_2005
VII,17.9,20.643,19.776,20.194,16.787,16.59,Ta,1981_2005
VIII,17.84,18.678,18.383,18.815,16.35,15.871,Ta,1981_2005
IX,13.62,13.096,13.399,13.721,14.131,12.229,Ta,1981_2005
X,9.07,7.919,8.3176,7.2086,9.7889,8.1874,Ta,1981_2005
XI,3.26,2.4884,4.4319,2.1244,4.5577,3.0107,Ta,1981_2005
