MONTH,ERA5,BCC,CESM-B,CESM-C,CMCC-CESM,CMCC-CMS,CNRM,EARTH,GFDL-C,GFDL-E,HADGEM,INM,IPSL,MPI,MRI,NOR,VAR,PERIOD
VIII,NA,34.177,71.504,67.004,65.74,69.484,68.77,87.134,45.545,74.913,48.904,27.27,70.715,63.361,78.787,70.846,LE,2076_2100
IX,NA,30.363,45.525,43.934,48.295,39.619,48.587,58.211,37.173,52.115,39.686,39.187,43.238,38.214,49.431,48.844,LE,2076_2100
X,NA,35.575,28.109,24.896,38.678,17.508,29.868,35.727,36.599,35.912,26.748,32.451,25.827,20.573,29.25,33.787,LE,2076_2100
XI,NA,28.675,19.622,15.694,33.976,11.847,14.908,19.954,31.277,25.671,16.013,16.225,21.86,15.469,18.434,25.428,LE,2076_2100
XII,NA,27.683,19.123,12.671,26.144,14.176,8.2969,15.01,25.287,22.51,14.343,8.6036,25.343,17.631,15.409,19.492,LE,2076_2100
I,39.196,24.558,37.485,36.847,20.015,25.292,37.782,35.316,40.033,34.801,40.406,43.42,29.382,33.823,41.753,31.069,Rg,1981_2005
II,72.488,48.285,71.797,67.193,44.076,51.789,73.143,72.796,72.85,64.809,71.97,81.302,57.008,59.765,76.978,59.744,Rg,1981_2005
III,118.85,86.921,127.68,120.99,86.163,84.994,132.44,125.78,115.83,109.94,122.63,134.96,112.18,103.06,133.67,106.11,Rg,1981_2005
IV,177.97,136.02,188.93,174.73,142.47,133.57,184.64,176.41,167.01,172.58,190.4,190.38,182.61,155.72,200.13,166.79,Rg,1981_2005
V,215.1,177.6,241.48,206.84,177.77,181.14,222.33,217.74,217.71,228.69,248.04,238.09,236.55,208.92,258.22,216.13,Rg,1981_2005
VI,217.64,224.05,260.34,224.8,189.67,190.57,247.17,233.57,234.43,247.87,281.84,275.37,291.64,222,289.72,255.02,Rg,1981_2005
VII,212.61,232.42,249.62,219.79,157.32,187.79,239.82,227.83,232.34,235.34,264.03,287.06,298.34,201.81,282.92,241.12,Rg,1981_2005
VIII,185.98,200.99,218.54,178.3,116.75,142.17,201.12,190.3,194.97,190.23,224.77,245.23,240.01,169.29,227.07,202.27,Rg,1981_2005
IX,127.58,149.28,154.72,130.46,68.118,106.03,139.19,138,138.75,124.01,159.29,163.16,153.27,130.87,153.71,144.4,Rg,1981_2005
X,81.243,62.875,93.101,81.748,38.234,59.193,87.348,82.506,80.437,72.496,82.689,89.77,83.835,76.172,87.091,81.275,Rg,1981_2005
XI,43.176,25.25,44.979,43.425,19.644,27.211,46.046,42.439,44.025,37.81,43.523,48.686,38.849,40.935,46.049,37.928,Rg,1981_2005
XII,29.806,17.865,29.067,28.937,11.787,17.083,28.218,27.18,31.306,25.777,31.864,32.263,22.544,25.009,32.113,22.328,Rg,1981_2005
I,NA,20.992,36.553,43.378,12.83,20.362,39.696,32.816,39.062,31.23,35.827,40.308,29.961,32.218,39.333,32.65,Rg,2076_2100
II,NA,40.31,71.496,78.602,30.942,44.108,73.501,68.713,68.622,62.986,70.569,74.098,56.695,54.518,70.346,62.557,Rg,2076_2100
