MONTH,ERA5,AWI,BCC,CESM2,CMCC_C,CMCC_E,CNRM,EARTH,EARTH_C,EARTH_V,GFDL_C,GFDL_E,HADGEM,INM,IPSL,MPI,MRI,NOR,TAI,VAR,PERIOD
VIII,185.98,197.38,204.15,197.52,213.67,209.25,219.45,188.25,187.82,190.27,192.41,185.88,212.36,248.06,213.11,190.71,207.43,205.44,208.35,Rg,1981_2005
IX,127.58,139.75,149.02,149.54,155.8,149.88,164.29,144.95,145.11,143.32,138.62,128.25,161.92,166.07,141.27,129.96,146.63,157.19,148.19,Rg,1981_2005
X,81.243,77.57,72.895,86.587,89.633,87.958,98.34,86.778,87.588,89.027,86.915,71.459,89.417,94.982,77.857,73.999,83.152,87.996,88.915,Rg,1981_2005
XI,43.176,35.928,29.827,44.36,44.218,43.465,53.566,43.43,41,42.143,40.679,36.956,40.457,48.722,39.412,33.608,45.242,44.466,43.581,Rg,1981_2005
XII,29.806,22.539,20.727,27.28,26.659,25.683,36.182,30.895,28.822,29.93,27.632,26.618,27.665,33.666,28.374,24.527,28.708,28.831,27.466,Rg,1981_2005
I,NA,28.565,24.625,37.18,36.608,35.936,42.393,36.407,35.208,34.956,36.349,34.495,33.819,42.149,29.1,30.095,40.658,37.372,37.032,Rg,2076_2100
II,NA,53.256,49.75,66.38,68.438,69.358,78.258,67.265,65.226,68.406,72.636,58.865,62.508,78.692,55.246,54.727,72.476,68.462,69.81,Rg,2076_2100
III,NA,101.02,95.351,120.28,124.9,119.53,130.73,108.96,113.8,111.68,127.55,107.52,106.36,140.36,97.772,97.711,128.37,123.5,124.72,Rg,2076_2100
IV,NA,174.04,150.73,194.76,189.24,179.03,196.89,169.94,177.06,165.68,184.73,159.56,176.56,202.65,160.55,159.76,189.28,184.73,191.45,Rg,2076_2100
V,NA,229.96,209.74,234.02,242.73,241.03,254.05,223.76,233.72,226.24,236.83,230.49,243.87,253.3,236.95,228.39,245.06,234.34,242.79,Rg,2076_2100
VI,NA,264.46,258.24,263.86,278.07,269.28,277.84,256.97,261.18,258.3,268.11,265.95,291.93,302.63,293.9,258.67,283.57,263.09,281.07,Rg,2076_2100
VII,NA,265.68,269.11,254.36,279.59,271.64,264.72,253.67,255.95,251.49,259.3,251.34,289.19,313.56,290.12,255.93,276.03,281.36,288.76,Rg,2076_2100
