MONTH,ERA5,AWI,BCC,CESM2,CMCC_C,CMCC_E,CNRM,EARTH,EARTH_C,EARTH_V,GFDL_C,GFDL_E,HADGEM,INM,MPI,MRI,NOR,TAI,VAR,PERIOD
III,NA,7.0289,5.7108,8.2527,9.2302,8.6371,5.9763,7.0727,7.7446,7.4891,6.532,4.3431,6.4558,6.3829,5.5726,7.3156,7.4189,9.3042,Ta,2076_2100
IV,NA,11.843,9.5786,13.266,13.441,12.318,10.419,11.028,11.455,11.085,11.277,8.0943,11.227,11.195,9.5232,10.607,11.509,13.251,Ta,2076_2100
V,NA,16.518,14.476,17.595,18.423,17.936,16.26,15.967,16.843,16.174,16.8,14.11,16.383,15.992,14.843,15.394,15.946,19.303,Ta,2076_2100
VI,NA,20.61,19.6,23.547,24.398,23.198,21.875,20.132,21.024,20.653,21.481,20.32,22.527,20.922,19.702,20.547,20.959,24.798,Ta,2076_2100
VII,NA,24.729,23.916,25.557,28.607,26.805,24.527,23.983,24.562,24.074,23.636,21.738,25.61,26.557,22.176,22.586,25.443,28.526,Ta,2076_2100
VIII,NA,26.516,23.046,25.952,28.499,27.02,24.664,25.228,25.755,24.867,22.849,20.904,26.065,25.507,23.251,21.575,25.422,28.359,Ta,2076_2100
IX,NA,21.226,18.971,21.847,22.607,21.608,20.133,21.214,21.47,20.786,18.293,16.235,21.492,17.438,18.732,18.299,20.989,22.464,Ta,2076_2100
X,NA,15.382,12.668,15.628,15.516,14.797,13.219,15.468,15.395,15.126,13.268,11.127,15.372,11.115,12.368,12.78,13.587,15.533,Ta,2076_2100
XI,NA,8.8112,8.0213,9.6061,10.368,9.8807,7.2744,8.52,9.1149,8.4677,7.6181,6.3667,9.3335,7.0065,6.5457,8.1234,7.6299,9.857,Ta,2076_2100
XII,NA,5.593,4.8769,6.3931,7.2084,6.4831,3.3479,6.0487,5.4036,4.7232,4.0448,3.4277,4.8244,4.2314,3.0451,4.9954,4.3658,7.0056,Ta,2076_2100
