"VPD","ET","P","Ta","label","model","PERIOD"
0.300843025946571,446.140329026541,745.937,7.69699594798083,"H_RACMO","EUR-44","1981_2005"
0.307995911018396,606.035822515778,789.128,8.88203485284052,"H_RCA","EUR-44","1981_2005"
NA,NA,NA,NA,"INM","EUR-44","1981_2005"
NA,NA,NA,NA,"IPSL","EUR-44","1981_2005"
0.235214439246047,637.506734581559,958.329,7.61346021218344,"I_RCA","EUR-44","1981_2005"
NA,NA,NA,NA,"MPI","EUR-44","1981_2005"
NA,NA,NA,NA,"MRI","EUR-44","1981_2005"
0.207186916511806,563.13863054583,981.483,7.66693792607803,"M_CLM","EUR-44","1981_2005"
0.239323040443946,659.946322940319,959.969,8.61319618069815,"M_RCA","EUR-44","1981_2005"
NA,NA,NA,NA,"NOR","EUR-44","1981_2005"
NA,NA,NA,NA,"TAI","EUR-44","1981_2005"
NA,NA,NA,NA,"AWI","CMIP5","2076_2100"
0.511233608521106,522.000630047457,779.376,12.2751277207392,"BCC","CMIP5","2076_2100"
0.535212052913914,646.54666598479,882.237,13.8985041067762,"CESM-B","CMIP5","2076_2100"
0.570199335321619,582.991435710526,770.962,13.8053116358658,"CESM-C","CMIP5","2076_2100"
NA,NA,NA,NA,"CESM2","CMIP5","2076_2100"
0.37940733969801,607.463508070983,962.57,9.98440759753593,"CMCC-CESM","CMIP5","2076_2100"
0.427009586450384,579.692287471395,838,11.6643286105407,"CMCC-CMS","CMIP5","2076_2100"
NA,NA,NA,NA,"CMCC_C","CMIP5","2076_2100"
NA,NA,NA,NA,"CMCC_E","CMIP5","2076_2100"
0.406563692875321,662.078162336669,863.606,11.8146264202601,"CNRM","CMIP5","2076_2100"
NA,NA,NA,NA,"C_RCA","CMIP5","2076_2100"
0.398239850759916,757.668352787545,949.441,10.9245631074606,"EARTH","CMIP5","2076_2100"
NA,NA,NA,NA,"EARTH_C","CMIP5","2076_2100"
NA,NA,NA,NA,"EARTH_V","CMIP5","2076_2100"
NA,NA,NA,NA,"E_HIRHAM","CMIP5","2076_2100"
NA,NA,NA,NA,"E_RACMO","CMIP5","2076_2100"
NA,NA,NA,NA,"E_RCA","CMIP5","2076_2100"
0.569010329290871,655.146319994832,781.189,14.836117522245,"GFDL-C","CMIP5","2076_2100"
0.281727114593927,678.131594466232,920.89,10.6548223134839,"GFDL-E","CMIP5","2076_2100"
NA,NA,NA,NA,"GFDL_C","CMIP5","2076_2100"
NA,NA,NA,NA,"GFDL_E","CMIP5","2076_2100"
